Andrena cineraria (specimens),Latitude,Longitude,Date
1,49.666,6.12472,29/05/21
2,49.58467,6.13375,04/06/21
1,49.634333,6.0406673,26/04/21
1,49.61238,6.22202,28/05/21
2,49.537493,6.149696,23/05/21
2,49.68941,6.13651,22/04/21
1,49.611595,6.137962,23/04/21
1,49.62073,6.21876,28/05/21
1,49.601271,6.069175,11/06/21
1,49.6202057,6.057836,31/05/2021
1,49.6568475,6.033791,01/06/21
1,49.6198656,6.0783386,20/05/2021
1,49.59972,6.253,02/06/21
1,49.528504,5.998346,14/06/21
1,49.565358,5.960595,08/06/21
1,49.51656,6.09387,28/05/21
1,49.78317983556239,6.480581774647296,31/03/21
1,49.549816,6.021743,01/06/21
2,49.64633,6.01117,23/04/21
1,49.614981,6.324536,20/04/21
1,49.5696908,5.9195806,15/06/21
1,49.6055423,6.123456,12/05/21
1,49.493013,6.128202,27/04/21
2,49.6343905,6.0413134,29/04/21
1,49.6465962,6.1322195,03/05/21
1,49.572463,5.970571,08/05/21
1,49.571096,6.001656,28/05/21
3,49.501404,6.147402,26/04/21
1,49.6272662,6.0319461,27/04/21
1,49.6543288,6.1376338,01/06/21
1,49.6289027,6.1169953,26/04/21
1,49.64633,6.01117,23/04/21
1,49.6361799,6.0410452,26/04/2021
1,49.6283041,6.1147814,26/04/21
2,49.6368817,6.0404611,28/04/21
1,49.489439,6.133996,28/04/21
1,49.6291945,6.0525874,27/04/21
1,49.5443608,5.8377639,21/06/2021
1,49.54888,6.19862,13/05/21
1,49.520139,5.895311,29/04/21
1,49.70920348970877,6.050719698433379,14/04/21
1,49.70196756653771,6.2745815763884325,26/04/21
2,50.018691,5.921794,S1
1,49.736064,6.2138454,S1
1,49.632797,6.179888,23/04/21
1,49.632286,6.179214,25/05/21
1,49.59021,6.105136,07/06/21
2,49.616991,6.138824,30/04/21
1,49.62105,6.159799,22/04/21
1,49.615126,6.136272,29/04/21
1,49.615357,6.136679,29/04/21
1,49.615368,6.136626,23/04/21
1,49.622531,6.160472,26/04/21
5,49.615162,6.126134,21/04/21
1,49.620735,6.152846,30/04/2021
2,49.622029,6.153685,25/04/21
1,49.636928,6.220407,02/06/21
1,49.614244,6.136913,28/04/21
1,49.630212,6.161945,23/04/21
1,49.631941,6.207987,04/06/21
4,49.62306,6.158658,26/04/21
1,49.620724,6.145583,24/04/21
2,49.582833,6.06163,18/06/21
2,49.5807301,6.1197409,29/06/21
2,49.592616,6.071072,24/06/21
2,49.579541,6.11545,27/06/21
2,49.574353,6.112939,24/06/21
2,49.576467,6.113402,26/06/21
