"x" "y"
"1" 4106600.67557956 3107800.6682718
"2" 4113515.33516062 3103354.00307506
"3" 4101161.98353014 3103487.24582637
"4" 4100422.30927887 3103646.96393793
"5" 4101723.7131797 3103108.72836943
"6" 4103508.79170473 3103607.12598366
"7" 4103508.79170473 3103607.12598366
"8" 4103508.79170473 3103607.12598366
"9" 4103508.79170473 3103607.12598366
"10" 4104828.6509192 3102859.10841714
"11" 4104828.6509192 3102859.10841714
"12" 4104828.6509192 3102859.10841714
"13" 4105968.86761367 3103002.94153949
"14" 4107485.31581415 3102730.57417423
"15" 4107485.31581415 3102730.57417423
"16" 4107485.31581415 3102730.57417423
"17" 4107485.31581415 3102730.57417423
"18" 4107485.31581415 3102730.57417423
"19" 4109181.17199181 3102803.35669352
"20" 4110410.7465414 3102877.66843337
"21" 4114116.20404957 3102806.60552524
"22" 4098145.07215959 3110351.22381662
"23" 4098145.07215959 3110351.22381662
"24" 4098145.07215959 3110351.22381662
"25" 4097362.390509 3110767.45765884
"26" 4098559.58357906 3102211.8330175
"27" 4098559.58357906 3102211.8330175
"28" 4100254.46450223 3102523.83282073
"29" 4101353.41667634 3102107.8237249
"30" 4101866.21728118 3102148.36849124
"31" 4102653.38530432 3102356.12650889
"32" 4103753.02953263 3102132.26447859
"33" 4104806.04682966 3102370.07753647
"34" 4104806.04682966 3102370.07753647
"35" 4104806.04682966 3102370.07753647
"36" 4105766.4345976 3102298.40110053
"37" 4105766.4345976 3102298.40110053
"38" 4105766.4345976 3102298.40110053
"39" 4105766.4345976 3102298.40110053
"40" 4105766.4345976 3102298.40110053
"41" 4107098.62071286 3101905.26818362
"42" 4107098.62071286 3101905.26818362
"43" 4107098.62071286 3101905.26818362
"44" 4107098.62071286 3101905.26818362
"45" 4107524.99442824 3102057.88530556
"46" 4098145.07215959 3110351.22381662
"47" 4098145.07215959 3110351.22381662
"48" 4098145.07215959 3110351.22381662
"49" 4110364.30788086 3101492.4377699
"50" 4111597.44366391 3102217.31218112
"51" 4113893.87938877 3101401.64898539
"52" 4099848.09704427 3110617.17196948
"53" 4099848.09704427 3110617.17196948
"54" 4099848.09704427 3110617.17196948
"55" 4099848.09704427 3110617.17196948
"56" 4099848.09704427 3110617.17196948
"57" 4098862.67515039 3101892.10908589
"58" 4098862.67515039 3101892.10908589
"59" 4098862.67515039 3101892.10908589
"60" 4100094.11811187 3101567.09670452
"61" 4100094.11811187 3101567.09670452
"62" 4100094.11811187 3101567.09670452
"63" 4100576.95390956 3101740.21577024
"64" 4100576.95390956 3101740.21577024
"65" 4100576.95390956 3101740.21577024
"66" 4101772.70845377 3101341.7534738
"67" 4101772.70845377 3101341.7534738
"68" 4101772.70845377 3101341.7534738
"69" 4101772.70845377 3101341.7534738
"70" 4103486.72071417 3101188.96223949
"71" 4103486.72071417 3101188.96223949
"72" 4105522.54350741 3100984.13712877
"73" 4105522.54350741 3100984.13712877
"74" 4105522.54350741 3100984.13712877
"75" 4105522.54350741 3100984.13712877
"76" 4105522.54350741 3100984.13712877
"77" 4106361.61020256 3100779.15172264
"78" 4106361.61020256 3100779.15172264
"79" 4106361.61020256 3100779.15172264
"80" 4106952.61296775 3101246.55417412
"81" 4106952.61296775 3101246.55417412
"82" 4106952.61296775 3101246.55417412
"83" 4106952.61296775 3101246.55417412
"84" 4100907.1203503 3110085.87351698
"85" 4101446.39334318 3110158.27621728
"86" 4101446.39334318 3110158.27621728
"87" 4101446.39334318 3110158.27621728
"88" 4101446.39334318 3110158.27621728
"89" 4107795.13157626 3101177.95952587
"90" 4110332.21517744 3101019.61075527
"91" 4111875.07378097 3100517.44109054
"92" 4115542.04161734 3101127.83516384
"93" 4102438.49576507 3109950.68328911
"94" 4102438.49576507 3109950.68328911
"95" 4098562.91067523 3100205.20560255
"96" 4098562.91067523 3100205.20560255
"97" 4098562.91067523 3100205.20560255
"98" 4099219.39350212 3100109.30820548
"99" 4100614.97986256 3100290.40657891
"100" 4101975.50225652 3100507.89765558
"101" 4101975.50225652 3100507.89765558
"102" 4101975.50225652 3100507.89765558
"103" 4101975.50225652 3100507.89765558
"104" 4101975.50225652 3100507.89765558
"105" 4102363.1810739 3100267.75234825
