w_,Study area,1,Sampling station,Date,Latitude,Longitude,Collector name,M. florea,R. campestris,S. pipiens,V. pellucens,A. cineraria,Other individuals,Notes (optional),
_353_1_01-05-21,,353,1,01/05/2021,50.899426,6.998451,Frank & Jorg,0,0,0,0,0,1,,
_445_1_01-05-21,,445,1,01/05/2021,50.856230,7.055491,Frank & Jorg,0,0,0,0,0,1,,
016-N-Hir,,-,-,14/06/2021,50.016303,6.052713,Iman,0,0,0,0,0,2,Bee Atlas,
076-N-Obe,,-,-,16/06/2021,49.73203,5.84678,Iman,0,0,0,0,0,1,Bee Atlas,
082-N-Hwe,,-,-,08/06/2021,49.7019675,6.274581,Iman,0,0,0,0,0,2,Bee Atlas,
089-R-Koe,,-,-,09/06/2021,49.68346,5.94073,Iman,0,0,0,0,0,1,Bee Atlas,
102-R-Klog,,-,-,03/06/2021,49.632797,6.179888,Iman,0,0,0,0,0,1,Bee Atlas,
111-N-Koc,,-,-,09/06/2021,49.557136,6.096846,Iman,0,0,0,0,0,2,Bee Atlas,
118-R-Aes,,-,,31/05/2021,49.542144,5.969157,Iman,0,0,0,0,0,1,Bee Atlas,
118-R-Aes,,-,-,07/06/2021,49.542144,5.969157,Iman,0,0,0,0,0,4,Bee Atlas,
119-N-Bie,,-,-,31/05/2021,49.512549,6.051369,Iman,0,0,0,0,0,1,Bee Atlas,
121-R-Hoo,,-,-,01/06/2021,49.55327,6.146631,Iman,0,0,0,0,0,1,Bee Atlas,
128-R-Ang,,-,-,31/05/2021,49.48856,6.06479,Iman,0,0,0,0,0,4,Bee Atlas,
14-N-Mue,,-,-,02/07/2021,50.027705,5.865552,Iman,0,0,0,0,0,2,Bee Atlas,
Biwer_x_x_26-08-21,Biwer,x,x,26/08/2021,49.713797934821876,6.363715348118529,Fernanda + Frida,0,2,0,0,0,0,,
Clemency/Fingig_x_x_24-08-21,Clemency/Fingig,x,x,24/08/2021,49.59356,5.90676,Dylan and Tabea,1,0,0,0,0,0,,
Cologne_001_1_14-08-21,Cologne,001,1,14/08/2021,51.081135,6.835571,Hinatea Ariey,1,0,4,0,0,15,,
Cologne_002_1_20-08-21,Cologne,002,1,20/08/2021,51.082912,6.847783,Hinatea Ariey,1,0,0,1,0,4,,
Cologne_002_2_20-08-21,Cologne,002,2,20/08/2021,51.083798,6.846938,Hinatea Ariey,3,0,4,0,0,6,,
Cologne_003_1_09-09-21,Cologne,003,1,09/09/2021,51.072590,6.789990,Hinatea Ariey,0,0,20,0,0,7,,
Cologne_003.5_1_14-08-21,Cologne,003.5,1,14/08/2021,51.068262,6.805750,Hinatea Ariey,2,0,3,0,0,13,this cell has no name on the map and was between 3 and 4,
Cologne_004_1_14-08-21,Cologne,004,1,14/08/2021,51.068497,6.818007,Hinatea Ariey,0,0,4,0,0,14,,
Cologne_005_1_14-08-21,Cologne,005,1,14/08/2021,51.074718,6.838870,Hinatea Ariey,1,0,1,0,0,18,,
Cologne_006_1_12-08-21,Cologne,006,1,12/08/2021,51.070540,6.856052,Hinatea Ariey,0,0,2,0,0,3,,
Cologne_007_1_20-08-21,Cologne,007,1,20/08/2021,51.070381,6.858139,Hinatea Ariey,0,0,3,0,0,8,,
Cologne_012_1_14-08-21,Cologne,012,1,14/08/2021,51.064217,6.808649,Hinatea Ariey,1,0,0,0,0,6,,
Cologne_012_2_14-08-21,Cologne,012,2,14/08/2021,51.065824,6.809653,Hinatea Ariey,0,0,4,0,0,3,,
Cologne_012.5_1_14-08-21,Cologne,012.5,1,14/08/2021,51.060786,6.820062,Hinatea Ariey,3,0,1,0,0,27,This cell has no name on the map and was between the cell 12 and 13,
Cologne_013_1_20-08-21,Cologne,013,1,20/08/2021,51.059283,6.834028,Hinatea Ariey,0,0,5,0,0,11,,
Cologne_014_1_05-08-21,Cologne,014,1,05/08/2021,51.064252,6.849432,Hinatea Ariey,0,0,2,0,0,1,,
Cologne_014_1_12-08-21,Cologne,014,1,12/08/2021,51.066600,6.852088,Hinatea Ariey,0,0,7,0,0,3,,
Cologne_014_2_05-08-21,Cologne,014,2,05/08/2021,51.063837,6.844172,Hinatea Ariey,9,0,1,0,0,4,,
Cologne_015_1_08-10-21,Cologne,015,1,08/10/2021,51.059476,6.859591,Hinatea Ariey,1,0,0,0,0,.4,,
Cologne_015_1_20-08-21,Cologne,015,1,20/08/2021,51.061810,6.862039,Hinatea Ariey,0,0,2,0,0,2,,
Cologne_015_2_20-08-21,Cologne,015,2,20/08/2021,51.060334,6.867233,Hinatea Ariey,4,0,0,0,0,7,,
Cologne_016_1_12-08-21,Cologne,016,1,12/08/2021,51.058851,6.881499,Hinatea Ariey,3,0,4,0,0,60,,
Cologne_021_1_05-08-21,Cologne,021,1,05/08/2021,50.897711,6.869082,Hinatea Ariey,0,0,0,0,0,4,,
Cologne_022_1_14-08-21,Cologne,022,1,14/08/2021,51.056711,6.826556,Hinatea Ariey,1,0,5,0,0,8,,
Cologne_023_1_14-08-21,Cologne,023,1,14/08/2021,51.053219,6.832851,Hinatea Ariey,0,0,3,0,0,26,,
Cologne_023_1_20-08-21,Cologne,023,1,20/08/2021,51.056239,6.826801,Hinatea Ariey,1,0,2,0,0,2,,
Cologne_024_1_05-08-21,Cologne,024,1,05/08/2021,51.052381,6.850984,Hinatea Ariey,0,0,2,0,0,5,,
Cologne_024_1_08-10-21,Cologne,024,1,08/10/2021,51.050435,6.849428,Hinatea Ariey,4,0,3,0,0,10,,
Cologne_025_1_17-09-21,Cologne,025,1,17/09/2021,51.054696,6.867866,Hinatea Ariey,0,0,0,0,0,11,,
Cologne_025_2_17-09-21,Cologne,025,2,17/09/2021,51.058222,6.857881,Hinatea Ariey,0,0,1,0,0,0,,
Cologne_027_1_08-10-21,Cologne,027,1,08/10/2021,51.051252,6.889055,Hinatea Ariey,0,0,0,0,0,3,,
Cologne_028_1_17-09-21,Cologne,028,1,17/09/2021,51.053022,6.912782,Hinatea Ariey,0,0,3,0,0,12,,
Cologne_028_2_17-09-21,Cologne,028,2,17/09/2021,51.050711,6.906154,Hinatea Ariey,0,0,1,0,0,18,,
Cologne_029_1_08-10-21,Cologne,029,1,08/10/2021,51.052223,6.914070,Hinatea Ariey,0,0,0,0,0,1,,
Cologne_029_1_12-08-21,Cologne,029,1,12/08/2021,51.054000,6.91387,Hinatea Ariey,0,0,9,0,0,17,,
Cologne_029_1_17-09-21,Cologne,029,1,17/09/2021,51.053202,6.915012,Hinatea Ariey,0,0,3,0,0,14,,
Cologne_032_1_20-08-21,Cologne,032,1,20/08/2021,51.044797,6.812466,Hinatea Ariey,0,0,0,2,0,1,,
Cologne_033_1_20-08-21,Cologne,033,1,20/08/2021,51.045564,6.814952,Hinatea Ariey,0,0,1,0,0,2,,
Cologne_034_1_20-08-21,Cologne,034,1,20/08/2021,51.045610,6.839295,Hinatea Ariey,1,0,1,0,0,4,,
